# List of first names and gender from ftp://ftp.heise.de/pub/ct/listings/0717-182.zip
# Copyright (c): 2007-2008: Jörg MICHAEL, Adalbert-Stifter-Str. 11, 30655 Hannover, Germany
# License: GFDL-1.2-or-later
###########################################################################################
Adda;East Frisia:F:2,Iceland:F:4,Denmark:F:1,Great Britain:?:1;
Addi;Denmark:F:1;
Addie;U.S.A.:F:1,Denmark:F:1,the Netherlands:?:1;
Addison;U.S.A.:?:1;
Addolorata;Italy:F:4;
Addolorato;Italy:M:1;
Addy;Denmark:F:1,Israel:M:2,the Netherlands:?:2;
Ade;Estonia:F:1;
Adea;Albania:F:1;
Adeele;Estonia:F:1;
Adel;Azerbaijan:M:2,Arabia/Persia:M:6,Kazakhstan:?M:1,Kyrgyzstan:?M:1,Tajikistan:?M:1,Turkmenistan:?M:1,Uzbekistan:?M:1;
Adela;Italy:F:1,Spain:F:5,Germany:F:1,Austria:F:1,Swiss:F:1,Denmark:F:1,Poland:F:3,Slovakia:F:3,Romania:F:5,Bulgaria:F:1,Bosnia and Herzegovina:F:5,Croatia:F:2,Slovenia:F:3,Albania:F:4,Moldova:F:2,Israel:F:2;
Adéla;Czech Republic:F:3;
Adelaida;Spain:F:3,Romania:F:2,Moldova:F:3;
Adelaide;Great Britain:F:2,U.S.A.:F:1,Italy:F:4,Portugal:F:6,Swiss:F:1;
Adélaïde;France:F:2,Belgium:F:1,Swiss:F:1;
Adelaïde;Swiss:F:1;
Adelaido;Spain:M:1;
Adelajde;Albania:F:1;
Adelbert;East Frisia:M:2,Germany:M:1,Austria:M:1,Swiss:M:1;
Adelchi;Italy:M:1;
Adele;Great Britain:F:3,U.S.A.:F:2,Italy:F:6,East Frisia:F:4,Germany:F:2,Austria:F:4,Swiss:F:2,Denmark:F:1,Norway:F:1;
Adelė;Lithuania:F:5;
Adèle;France:F:3,Belgium:F:3,the Netherlands:F:1,Swiss:F:1;
Adéle;Sweden:F:1;
Adelfa;Italy:F:1;
Adelfo;Italy:M:1;
Adelfried;Germany:M:1;
Adelgund;East Frisia:F:1,Germany:F:1;
Adelgunde;East Frisia:F:2,Germany:F:1,Austria:F:1;
Adelhard;Germany:M:1;
Adelheid;East Frisia:F:5,Germany:F:5,Austria:F:6,Swiss:F:4;
Adelheide;Germany:F:1;
Adelia;Italy:F:3,Spain:F:1;
Adélia;Portugal:F:4;
Adélie;France:F:1;
Adelin;France:M:1;
Adelina;Italy:F:4,Portugal:F:4,Spain:F:3,Germany:F:1,Swiss:F:2,Romania:F:3,Bulgaria:F:2,Kosovo:F:6,Montenegro:F:1,Albania:F:6;
Adelinda;Italy:F:1,Portugal:F:1;
Adelinde;Germany:F:1,Austria:F:2;
Adelindo;Italy:M:1;
Adeline;Great Britain:F:1,U.S.A.:F:1,France:F:5,Belgium:F:3,Luxembourg:F:3,Germany:F:1,Swiss:F:2,Norway:F:1;
Adelino;Italy:M:2,Portugal:M:6,Spain:M:1,Swiss:M:1;
Adelio;Italy:M:2,Spain:M:1;
Adélio;Portugal:M:1;
Adelisa;Portugal:F:1;
Adeliya;Kazakhstan:F:1,Kyrgyzstan:F:1,Tajikistan:F:1,Turkmenistan:F:1,Uzbekistan:F:1;
Adell;U.S.A.:F:1,Arabia/Persia:M:3;
Adella;U.S.A.:F:1,Romania:F:1;
Adelle;Great Britain:F:1,U.S.A.:F:1;
Adelma;Italy:F:1;
Adelmar;East Frisia:M:1;
Adelmina;Italy:F:1;
Adelmino;Italy:M:1;
Adelmira;Italy:F:1;
Adelmo;Italy:M:3;
Adelo;Spain:M:1;
Adelphine;France:F:1;
Adeltraud;Germany:F:1;
Adeltraut;Germany:F:1;
Adeluţa;Romania:F:1;
Adelya;Azerbaijan:F:4,Kazakhstan:F:2,Kyrgyzstan:F:2,Tajikistan:F:2,Turkmenistan:F:2,Uzbekistan:F:2;
Adelyne;France:F:1;
Adem;Bosnia and Herzegovina:M:6,Kosovo:M:5,Macedonia:M:3,Montenegro:M:3,Albania:M:6,Turkey:M:6,Arabia/Persia:M:2;
Ademar;Portugal:M:1;
Ademara;Italy:F:1;
Ademaro;Italy:M:1;
Aden;Great Britain:M:1,U.S.A.:M:1,Georgia:M:1;
Adeodata;Italy:F:1;
Adeodato;Italy:M:1;
Aderita;Italy:F:1;
Aderito;Italy:M:1;
Adérito;Portugal:M:2;
Adham;Albania:M:1,Kazakhstan:M:2,Kyrgyzstan:M:2,Tajikistan:M:2,Turkmenistan:M:2,Uzbekistan:M:2,Arabia/Persia:M:2;
Adhémar;France:M:1;
Adhurim;Kosovo:M:3,Albania:M:2;
Adi;Israel:F:7,Germany:M:1,Bosnia and Herzegovina:M:5,Albania:M:2;
Adib;Arabia/Persia:M:3;
Adiba;Arabia/Persia:F:1;
Adil;Bosnia and Herzegovina:M:4,Kosovo:M:4,Azerbaijan:M:6,Kazakhstan:M:5,Kyrgyzstan:M:5,Tajikistan:M:5,Turkmenistan:M:5,Uzbekistan:M:5,Turkey:M:5,Arabia/Persia:M:5;
Adila;Bosnia and Herzegovina:F:4,Azerbaijan:F:1;
Adilbek;Kazakhstan:M:3,Kyrgyzstan:M:3,Tajikistan:M:3,Turkmenistan:M:3,Uzbekistan:M:3;
Adile;Turkey:F:4;
Adilia;Spain:F:1,Russia:F:1;
Adília;Portugal:F:1;
Adilkhan;Kazakhstan:M:1,Kyrgyzstan:M:1,Tajikistan:M:1,Turkmenistan:M:1,Uzbekistan:M:1;
Adin;Romania:M:1,Bosnia and Herzegovina:M:1;
Adina;Italy:F:1,East Frisia:F:1,Germany:F:1,Austria:F:1,Sweden:F:1,Poland:F:1,Romania:F:5,Israel:F:6;
Adinda;the Netherlands:F:1;
Adine;the Netherlands:F:1;
Adinel;Romania:M:2;
Adino;Italy:M:1;
Adir;Israel:M:2;
Adis;Bosnia and Herzegovina:M:5,Macedonia:M:2;
Adisa;Bosnia and Herzegovina:F:6,Montenegro:F:1;
Aditi;India:F:3,Sri Lanka:F:3;
Aditya;India:M:1,Sri Lanka:M:1;
Adiya;Kazakhstan:F:3,Kyrgyzstan:F:3,Tajikistan:F:3,Turkmenistan:F:3,Uzbekistan:F:3;
Adje;the Netherlands:F:1;
Adjuto;Portugal:M:1;
Admeto;Italy:M:1;
Admir;Bosnia and Herzegovina:M:7,Montenegro:M:4,Albania:M:5;
Admira;Bosnia and Herzegovina:F:2,Albania:F:1;
Admirim;Albania:M:3;
Adnan;Bosnia and Herzegovina:M:8,Kosovo:M:3,Macedonia:M:5,Montenegro:M:4,Albania:M:3,Turkey:M:6,Arabia/Persia:M:7;
Adnana;Arabia/Persia:F:1;
Adnand;Albania:M:3;
Ådne;Norway:M:1;
Ado;Italy:M:1,Estonia:M:2;
Adolf;East Frisia:M:4,Germany:M:3,Austria:M:6,Swiss:M:4,Iceland:M:2,Denmark:M:1,Sweden:M:2,Czech Republic:M:1,Slovakia:M:1,Hungary:M:1;
Adolfa;Germany:F:1,Austria:F:1;
Adolfas;Lithuania:M:4;
Adolfina;Lithuania:F:3;
Adolfine;Germany:F:1,Austria:F:2;
Adolfo;Italy:M:3,Portugal:M:2,Spain:M:4,Swiss:M:1;
Ādolfs;Latvia:M:2;
Adolina;East Frisia:F:1;
Adolph;U.S.A.:M:1,Germany:M:1;
Adolphe;France:M:1,Belgium:M:1,Luxembourg:M:3,Swiss:M:1;
Adolphine;France:F:1,Belgium:F:1;
Adolphus;U.S.A.:M:1,the Netherlands:M:1;
Adomas;Lithuania:M:5;
Adone;Italy:M:1;
Adonis;U.S.A.:M:1,Greece:M:2;
Adoración;Spain:F:4;
Adoram;Israel:M:3;
Adorata;Italy:F:1;
Adorján;Hungary:M:2;
Adorna;Italy:F:1;
Adorno;Italy:M:1;
Adosinda;Portugal:F:2;
Adosinha;Portugal:F:1;
Adrasto;Italy:M:1;
Adri;the Netherlands:?:4;
Adria;U.S.A.:F:1,Italy:F:1;
Adriaan;Belgium:M:3,the Netherlands:M:4;
Adrian;Malta:M:4,Belgium:M:1,the Netherlands:M:1,East Frisia:M:2,Germany:M:2,Austria:M:2,Swiss:M:6,Poland:M:2,Slovakia:M:3,Romania:M:8,Bulgaria:M:1,Albania:M:6,Moldova:M:6,Great Britain:?M:6,Ireland:?M:6,U.S.A.:?M:4;
Adrián;Spain:M:4,Slovakia:M:4,Hungary:M:1;
Adriana;Italy:F:6,Malta:F:2,Portugal:F:4,Spain:F:3,Belgium:F:4,Austria:F:1,Swiss:F:3,Estonia:F:1,Latvia:F:1,Poland:F:3,Czech Republic:F:2,Slovakia:F:6,Romania:F:7,Bulgaria:F:3,Montenegro:F:1,Slovenia:F:3,Albania:F:6,Moldova:F:4,Israel:F:4;
Adriane;U.S.A.:F:1,Germany:F:1,Austria:F:1,Swiss:F:1;
Adrianna;U.S.A.:F:1,Poland:F:1;
Adrianne;U.S.A.:F:1,the Netherlands:F:1;
Adriano;Italy:M:6,Portugal:M:5,Spain:M:1,Swiss:M:3;
Adriāns;Latvia:M:2;
Adrianus;Belgium:M:3,the Netherlands:M:1;
Adrião;Portugal:M:2;
Adriatik;Albania:M:5;
Adrie;the Netherlands:?:5;
Adriëlle;the Netherlands:F:1;
Adrien;France:M:5,Belgium:M:4,Luxembourg:M:5,Swiss:M:2;
